Date,Open,High,Low,Close,Volume,Symbol,Asset_Type,Data_Source,Download_Date,Adj_Close,Source,Transform_Date,Data_Start_Date,Data_End_Date,Record_Count,Data_Quality_Score,YFinance_Version,Exchange,Trading_Pair
2021-10-05,3388.11,3546.2,3365.28,3490.64,52446441.17919858,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-10-04,3339.31,3439.08,3269.99,3388.11,49257238.43402715,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-10-03,3404.04,3489.36,3328.0,3339.31,30097723.35969427,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-10-02,3268.38,3468.85,3259.8,3404.04,44937680.9111801,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-10-01,3003.24,3345.73,2990.23,3268.38,79544481.8459272,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-09-30,3028.29,3051.88,2942.49,3003.24,67510327.73966438,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-09-29,2895.84,3035.66,2783.0,3028.29,41218252.19964556,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-09-28,2948.59,2970.0,2787.57,2895.84,56110946.47839394,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-09-27,3131.0,3151.67,2887.09,2948.59,63144778.619068995,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-09-26,2866.76,3167.23,2742.0,3131.0,59838055.672285296,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-09-25,2916.14,2967.73,2804.23,2866.76,46565878.31685607,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-09-24,3077.15,3117.43,2734.71,2916.14,121139845.22210388,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-09-23,3120.38,3175.0,3044.23,3077.15,68296519.60866411,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-09-22,2869.31,3121.68,2869.31,3120.38,62473777.40481258,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-09-21,2998.29,3104.42,2650.85,2869.31,132820120.82240532,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-09-20,3187.56,3218.18,2807.97,2998.29,147641827.61446214,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-09-19,3413.18,3458.96,3157.41,3187.56,49942836.05048513,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-09-18,3452.36,3541.89,3374.61,3413.18,26035286.354258288,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-09-17,3563.75,3586.55,3351.23,3452.36,48324337.60970292,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
